codigo;descripcion;familia;rubro;subrubro;proveedor;costo;iva;ganancia;moneda;codigo barra;ubicación;stock
101170100400001;TUBO Ø 40 x 1 MT JUNTA ELÁSTICA;;;;;4187;21;35;$;;;
101170100400002;TUBO Ø 40 x 2 MTS JUNTA ELÁSTICA;;;;;6550;21;35;$;;;
101170100400003;TUBO Ø 40 x 3 MT JUNTA ELÁSTICA;;;;;8932;21;35;$;;;
101170100400004;TUBO Ø 40 x 4 MTS JUNTA ELÁSTICA;;;;;11909;21;35;$;;;
101170100500001;TUBO Ø 50 x 1 MT JUNTA ELÁSTICA;;;;;5704;21;35;$;;;
101170100500002;TUBO Ø 50 x 2 MTS JUNTA ELÁSTICA;;;;;8819;21;35;$;;;
101170100500003;TUBO Ø 50 x 3 MT JUNTA ELÁSTICA;;;;;12026;21;35;$;;;
101170100500004;TUBO Ø 50 x 4 MTS JUNTA ELÁSTICA;;;;;16035;21;35;$;;;
101170100630001;TUBO Ø 63 x 1 MT JUNTA ELÁSTICA;;;;;7347;21;35;$;;;
101170100630002;TUBO Ø 63 x 2 MTS JUNTA ELÁSTICA;;;;;10918;21;35;$;;;
101170100630003;TUBO Ø 63 x 3 MT JUNTA ELÁSTICA;;;;;14888;21;35;$;;;
101170100630004;TUBO Ø 63 x 4 MTS JUNTA ELÁSTICA;;;;;19851;21;35;$;;;
101170101100001;TUBO Ø 110 x 1 MT JUNTA ELÁSTICA;;;;;13441;21;35;$;;;
101170101100002;TUBO Ø 110 x 2 MTS JUNTA ELÁSTICA;;;;;19968;21;35;$;;;
101170101100003;TUBO Ø 110 x 3 MT JUNTA ELÁSTICA;;;;;27229;21;35;$;;;
101170101100004;TUBO Ø 110 x 4 MTS JUNTA ELÁSTICA;;;;;36305;21;35;$;;;
101170101101004;TUBO Ø 110 x 4 MTS JUNTA ELÁSTICA PLUVIAL;;;;;25963;21;35;$;;;
101170203004000;CUPLA DESLIZANTE Ø 40 HH JUNTA ELÁSTICA;;;;;1481;21;35;$;;;
101170203005000;CUPLA DESLIZANTE Ø 50 HH JUNTA ELÁSTICA;;;;;1727;21;35;$;;;
101170203006300;CUPLA DESLIZANTE Ø 63 HH JUNTA ELÁSTICA;;;;;2294;21;35;$;;;
101170203011000;CUPLA DESLIZANTE Ø 110 HH JUNTA ELÁSTICA;;;;;4806;21;35;$;;;
101170203004001;CUPLA CON TOPE Ø 40 HH JUNTA ELÁSTICA;;;;;1481;21;35;$;;;
101170203005001;CUPLA CON TOPE Ø 50 HH JUNTA ELÁSTICA;;;;;1727;21;35;$;;;
101170203006301;CUPLA CON TOPE Ø 63 HH JUNTA ELÁSTICA;;;;;2294;21;35;$;;;
101170203011001;CUPLA CON TOPE Ø 110 HH JUNTA ELÁSTICA;;;;;4806;21;35;$;;;
101170204904000;CODO A 90º  Ø 40 MH JUNTA ELÁSTICA;;;;;972;21;35;$;;;
101170204905000;CODO A 90º  Ø 50 MH JUNTA ELÁSTICA;;;;;1365;21;35;$;;;
101170204906300;CODO A 90º  Ø 63 MH JUNTA ELÁSTICA;;;;;2422;21;35;$;;;
101170204901100;CODO A 90º  Ø 110 MH JUNTA ELÁSTICA;;;;;5048;21;35;$;;;
101170204904001;CODO A 90º  Ø 40 HH JUNTA ELÁSTICA;;;;;1203;21;35;$;;;
101170204905001;CODO A 90º  Ø 50 HH JUNTA ELÁSTICA *NUEVO*;;;;;1686;21;35;$;;;
101170204906301;CODO A 90º  Ø 63 HH JUNTA ELÁSTICA *NUEVO*;;;;;2826;21;35;$;;;
101170204110901;CODO A 90º  Ø 110 HH JUNTA ELÁSTICA;;;;;6041;21;35;$;;;
101170205454000;CODO A 45º  Ø 40 MH JUNTA ELÁSTICA;;;;;898;21;35;$;;;
101170205455000;CODO A 45º  Ø 50 MH JUNTA ELÁSTICA;;;;;1365;21;35;$;;;
101170205456300;CODO A 45º  Ø 63 MH JUNTA ELÁSTICA;;;;;2294;21;35;$;;;
101170205451100;CODO A 45º  Ø 110 MH JUNTA ELÁSTICA;;;;;4647;21;35;$;;;
101170205454001;CODO A 45º  Ø 40 HH JUNTA ELÁSTICA *NUEVO*;;;;;1140;21;35;$;;;
101170205455001;CODO A 45º  Ø 50 HH JUNTA ELÁSTICA *NUEVO*;;;;;1680;21;35;$;;;
101170205456301;CODO A 45º  Ø 63 HH JUNTA ELÁSTICA *NUEVO*;;;;;2704;21;35;$;;;
101170205451101;CODO A 45º  Ø 110 HH JUNTA ELÁSTICA;;;;;5570;21;35;$;;;
101170207050400;REDUCCIÓN EXCÉNTRICA Ø 50x40 MH JUNTA ELÁSTICA *NUEVO*;;;;;1395;21;35;$;;;
101170207063500;REDUCCIÓN EXCÉNTRICA Ø 63x50 MH JUNTA ELÁSTICA *NUEVO*;;;;;1692;21;35;$;;;
101170207011063;REDUCCIÓN EXCÉNTRICA Ø 110x63 MH JUNTA ELÁSTICA *NUEVO*;;;;;3941;21;35;$;;;
101170208040000;TAPA Ø 40 H JUNTA ELÁSTICA ;;;;;813;21;35;$;;;
101170208050000;TAPA Ø 50 H JUNTA ELÁSTICA *NUEVO*;;;;;1395;21;35;$;;;
101170208063000;TAPA Ø 63 H JUNTA ELÁSTICA *NUEVO*;;;;;2256;21;35;$;;;
101170208011000;TAPA Ø 110 H JUNTA ELÁSTICA *NUEVO*;;;;;3602;21;35;$;;;
101170208140000;TAPÓN Ø 40 M JUNTA ELÁSTICA - PROXIMAMENTE (MAYO 2026)  ;;;;;0;21;35;$;;;
101170208150000;TAPÓN Ø 50 M JUNTA ELÁSTICA - PROXIMAMENTE (MAYO 2026)  ;;;;;0;21;35;$;;;
101170208163000;TAPÓN Ø 63 M JUNTA ELÁSTICA - PROXIMAMENTE (MAYO 2026)  ;;;;;0;21;35;$;;;
101170208111000;TAPÓN Ø 110 M JUNTA ELÁSTICA *NUEVO*;;;;;2241;21;35;$;;;
101170206110633;CODO A 90º CON 3 ACOMETIDAS Ø 110x63 MH JUNTA ELÁSTICA;;;;;9677;21;35;$;;;
101170206040000;CODO CORTO A 90º Ø 40 HH JUNTA ELÁSTICA *NUEVO*;;;;;1476;21;35;$;;;
101170206110400;RECEPTACULO DE DUCHA Ø110x40 MH JUNTA ELÁSTICA *NUEVO*;;;;;7737;21;35;$;;;
101170206454040;RAMAL SIMPLE A 45º  Ø 40x40 MHH JUNTA ELÁSTICA *NUEVO*;;;;;1856;21;35;$;;;
101170206456363;RAMAL SIMPLE A 45º  Ø 63x63 MHH JUNTA ELÁSTICA *NUEVO*;;;;;5033;21;35;$;;;
101170206451111;RAMAL SIMPLE A 45º  Ø 110x110 MHH JUNTA ELÁSTICA;;;;;10643;21;35;$;;;
101170206451163;RAMAL SIMPLE A 45º  Ø 110x63 MHH JUNTA ELÁSTICA;;;;;8028;21;35;$;;;
101170206904040;RAMAL SIMPLE A 90º  Ø 40x40 MHH JUNTA ELÁSTICA *NUEVO*;;;;;1763;21;35;$;;;
101170206906363;RAMAL SIMPLE A 90º  Ø 63x63 MHH JUNTA ELÁSTICA *NUEVO*;;;;;4790;21;35;$;;;
101170206901111;RAMAL SIMPLE A 90º  Ø 110x110 MHH JUNTA ELÁSTICA;;;;;8496;21;35;$;;;
101170206901163;RAMAL SIMPLE A 90º  Ø 110x63 MHH JUNTA ELÁSTICA *NUEVO*;;;;;6707;21;35;$;;;
101170207636000;CAÑO CAMARA Ø110 MH JUNTA ELÁSTICA;;;;;10611;21;35;$;;;
101170207635000;BOCA DE ACCESO DE COCINA (3 ENTRADAS) Ø 63x50 JUNTA ELÁSTICA;;;;;10362;21;35;$;;;
101170207634003;PILETA DE PATIO CON SIFÓN DESMONTABLE (3 ENTRADAS) Ø 40x63 JUNTA ELÁSTICA;;;;;11857;21;35;$;;;
101170207634005;PILETA DE PATIO CON SIFÓN DESMONTABLE (5 ENTRADAS) Ø 40x63 JUNTA ELÁSTICA;;;;;13649;21;35;$;;;
101170207021212;PORTA REJILLA CON REJILLA DE ACERO INOXIDABLE + REJILLA ANTI-INSECTOS 12x12 Ø 110  ;;;;;8330;21;35;$;;;
101170207010808;PORTA REJILLA CON REJILLA DE ACERO INOXIDABLE 8 x 8 Ø 40;;;;;6616;21;35;$;;;
101170207011212;PORTA REJILLA CON TAPA CIEGA DE ACERO INOXIDABLE 12x12 Ø 110;;;;;8330;21;35;$;;;
